timestamp_utc,respondent,respondent_name,value_mwh,type_name,loaded_at
2026-06-14T19:00:00,PJM,"PJM Interconnection, LLC",118228,Demand,2026-06-19T15:16:40Z
2026-06-14T20:00:00,PJM,"PJM Interconnection, LLC",119808,Demand,2026-06-19T15:16:40Z
2026-06-14T21:00:00,PJM,"PJM Interconnection, LLC",119744,Demand,2026-06-19T15:16:40Z
2026-06-14T22:00:00,PJM,"PJM Interconnection, LLC",119957,Demand,2026-06-19T15:16:40Z
2026-06-14T23:00:00,PJM,"PJM Interconnection, LLC",118075,Demand,2026-06-19T15:16:40Z
2026-06-15T00:00:00,PJM,"PJM Interconnection, LLC",114544,Demand,2026-06-19T15:16:40Z
2026-06-15T01:00:00,PJM,"PJM Interconnection, LLC",111363,Demand,2026-06-19T15:16:40Z
2026-06-15T02:00:00,PJM,"PJM Interconnection, LLC",107514,Demand,2026-06-19T15:16:40Z
2026-06-15T03:00:00,PJM,"PJM Interconnection, LLC",102300,Demand,2026-06-19T15:16:40Z
2026-06-15T04:00:00,PJM,"PJM Interconnection, LLC",96118,Demand,2026-06-19T15:16:40Z
2026-06-15T05:00:00,PJM,"PJM Interconnection, LLC",91036,Demand,2026-06-19T15:16:40Z
2026-06-15T06:00:00,PJM,"PJM Interconnection, LLC",88428,Demand,2026-06-19T15:16:40Z
2026-06-15T07:00:00,PJM,"PJM Interconnection, LLC",87078,Demand,2026-06-19T15:16:40Z
2026-06-15T08:00:00,PJM,"PJM Interconnection, LLC",85523,Demand,2026-06-19T15:16:40Z
2026-06-15T09:00:00,PJM,"PJM Interconnection, LLC",85255,Demand,2026-06-19T15:16:40Z
2026-06-15T10:00:00,PJM,"PJM Interconnection, LLC",86434,Demand,2026-06-19T15:16:40Z
2026-06-15T11:00:00,PJM,"PJM Interconnection, LLC",88518,Demand,2026-06-19T15:16:40Z
2026-06-15T12:00:00,PJM,"PJM Interconnection, LLC",92669,Demand,2026-06-19T15:16:40Z
2026-06-15T13:00:00,PJM,"PJM Interconnection, LLC",95803,Demand,2026-06-19T15:16:40Z
2026-06-15T14:00:00,PJM,"PJM Interconnection, LLC",97203,Demand,2026-06-19T15:16:40Z
2026-06-15T15:00:00,PJM,"PJM Interconnection, LLC",97899,Demand,2026-06-19T15:16:40Z
2026-06-15T16:00:00,PJM,"PJM Interconnection, LLC",99094,Demand,2026-06-19T15:16:40Z
2026-06-15T17:00:00,PJM,"PJM Interconnection, LLC",100356,Demand,2026-06-19T15:16:40Z
2026-06-15T18:00:00,PJM,"PJM Interconnection, LLC",101587,Demand,2026-06-19T15:16:40Z
2026-06-15T19:00:00,PJM,"PJM Interconnection, LLC",102514,Demand,2026-06-19T15:16:40Z
2026-06-15T20:00:00,PJM,"PJM Interconnection, LLC",103882,Demand,2026-06-19T15:16:40Z
2026-06-15T21:00:00,PJM,"PJM Interconnection, LLC",105881,Demand,2026-06-19T15:16:40Z
2026-06-15T22:00:00,PJM,"PJM Interconnection, LLC",107626,Demand,2026-06-19T15:16:40Z
2026-06-15T23:00:00,PJM,"PJM Interconnection, LLC",107756,Demand,2026-06-19T15:16:40Z
2026-06-16T00:00:00,PJM,"PJM Interconnection, LLC",106232,Demand,2026-06-19T15:16:40Z
2026-06-16T01:00:00,PJM,"PJM Interconnection, LLC",103048,Demand,2026-06-19T15:16:40Z
2026-06-16T02:00:00,PJM,"PJM Interconnection, LLC",100168,Demand,2026-06-19T15:16:40Z
2026-06-16T03:00:00,PJM,"PJM Interconnection, LLC",95170,Demand,2026-06-19T15:16:40Z
2026-06-16T04:00:00,PJM,"PJM Interconnection, LLC",88981,Demand,2026-06-19T15:16:40Z
2026-06-16T05:00:00,PJM,"PJM Interconnection, LLC",84330,Demand,2026-06-19T15:16:40Z
2026-06-16T06:00:00,PJM,"PJM Interconnection, LLC",81977,Demand,2026-06-19T15:16:40Z
