signal_type,signal_strength,respondent,company_name,ticker,timestamp_utc,value_mwh,baseline_mwh,zscore,pct_above_baseline,notes
SPIKE,1.05,CPLE,Duke Energy,DUK,2026-06-22 22:00:00+00:00,12349.0,8144.5,2.04,51.6,Demand 51.6% above 7-day rolling mean
SPIKE,1.03,CPLE,Duke Energy,DUK,2026-06-22 21:00:00+00:00,12194.0,8089.1,2.03,50.7,Demand 50.7% above 7-day rolling mean
SPIKE,1.02,DUK,Duke Energy,DUK,2026-06-22 20:00:00+00:00,20344.0,13686.0,2.1,48.6,Demand 48.6% above 7-day rolling mean
SPIKE,1.02,DUK,Duke Energy,DUK,2026-06-22 21:00:00+00:00,20521.0,13775.9,2.08,49.0,Demand 49.0% above 7-day rolling mean
SPIKE,0.93,DUK,Duke Energy,DUK,2026-06-22 19:00:00+00:00,19865.0,13596.0,2.02,46.1,Demand 46.1% above 7-day rolling mean
NEW_PEAK,0.54,PJM,PJM Interconnection (non-traded ISO),,2026-06-25 22:00:00+00:00,121815.0,96744.1,2.08,25.9,All-time high in current dataset window
SPIKE,0.53,PJM,PJM Interconnection (non-traded ISO),,2026-06-25 22:00:00+00:00,121815.0,97062.7,2.08,25.5,Demand 25.5% above 7-day rolling mean
